"OMPV 😄2 #big smug's burger pr 4 personnes et la surprise💖💖 le fameux #BIG mojito 😀#offre à ne pas rater je vs conseille d'y aller👌👍 ..
(2 big smug's ==> un #big mojito gratuit)
un grand #merci pr l'accueil chaleureux et tte l'équipe #Smug's #Ennasr ❤
#Skan #Mario 😄";"['c ouu ??', '', ""Ghada tu tourne avec la mosquée à droite tu avance et c'est sur ta gauche"", '', 'Win blasto w esmo?', '', ""bellahi 7a9 hedha el koll mouch ken mchit chrit sabgha behia 5ir melli boudourou elli 3amlet'ha"", '', 'Soumaya Rezgui Hë Ňđ', '', 'Sofiene Mimouni\nStp !!', '', 'Wala Hannachi', '', 'Malek Rgg njarbohhaa?', '']"
"OMPV 😄2 #big smug's burger pr 4 personnes et la surprise💖💖 le fameux #BIG mojito 😀#offre à ne pas rater je vs conseille d'y aller👌👍 ..
(2 big smug's ==> un #big mojito gratuit)
un grand #merci pr l'accueil chaleureux et tte l'équipe #Smug's #Ennasr ❤
#Skan #Mario 😄";"['c ouu ??', '', ""Ghada tu tourne avec la mosquée à droite tu avance et c'est sur ta gauche"", '', 'Win blasto w esmo?', '', ""bellahi 7a9 hedha el koll mouch ken mchit chrit sabgha behia 5ir melli boudourou elli 3amlet'ha"", '', 'Soumaya Rezgui Hë Ňđ', '', 'Sofiene Mimouni\nStp !!', '', 'Wala Hannachi', '', 'Malek Rgg njarbohhaa?', '']"
"Une bonne adresse smug's nasser la fameux ""smug's pizza burger""";"['Prix ?', '', ""C'est à 17D je crois et la big c'est à 22D"", '', 'Merci :)', '', ""Du n'importe quoi mchit bidhemma pr goûter w zedet hazzit des invités alors la catastrophe pr commencer il a fallu 45 minutes et puis la surprise la pâte est tte mouillé il m'a dit C est peut être le fromage hachmouni ma3atha C est pas sa faute C est bien dommage w khssara kol win nemchi na3mel les remarques et puis ça y est trabbiiiiiiit"", '']"
"Une bonne adresse smug's nasser la fameux ""smug's pizza burger""";"['Prix ?', '', ""C'est à 17D je crois et la big c'est à 22D"", '', 'Merci :)', '', ""Du n'importe quoi mchit bidhemma pr goûter w zedet hazzit des invités alors la catastrophe pr commencer il a fallu 45 minutes et puis la surprise la pâte est tte mouillé il m'a dit C est peut être le fromage hachmouni ma3atha C est pas sa faute C est bien dommage w khssara kol win nemchi na3mel les remarques et puis ça y est trabbiiiiiiit"", '']"
JMPV une pizza burger chez smug's à 16d500 😍😍 suffisante pour 2 ou 3 personne 👌🏻👌🏻;"['ya weldi amuse gueule, wala kamya!', '', 'emela tawa na3mel 1er mi temps fi ariana w nkammel fel nasser :p :p', '', 'xDD', '', 'xDD', '', 'A quel niveau fe naser Svp', '', 'À côté de Sidi bou ;)', '', 'Merciiiii😊', '']"
JMPV une pizza burger chez smug's à 16d500 😍😍 suffisante pour 2 ou 3 personne 👌🏻👌🏻;"['ya weldi amuse gueule, wala kamya!', '', 'emela tawa na3mel 1er mi temps fi ariana w nkammel fel nasser :p :p', '', 'xDD', '', 'xDD', '', 'A quel niveau fe naser Svp', '', 'À côté de Sidi bou ;)', '', 'Merciiiii😊', '']"
Hier j'ai mangé big pizza burger chez smug's lac vraiment t3ayeeeef aucun gout ena j'ai pensé eli hya bel7a9 pizza ma7chya bel fromage w bracha 7ajet l9itha 5obza tabouna chey7a tghases ya pa de fromage w l7am mafroum men de5el ma7rou9!!!! Vraiment déçu 3ale5er en plus jebhelna beeerda en tou cas je le repetrais jamais;"['Même expérience désagréable à la marsa !', '', ""Ce truc ne m'a jamais donné envi et tu viens de confirmer ce que je pensais c'est à dire que ce n'est pas bon du tout :D Pizza Burger un peu n'importe quoi comme Les jwejem aux M&M's Oreo et j'en passe .. on aura tout vu dans ce pays"", '', ""Ce truc ne m'a jamais donné envi et tu viens de confirmer ce que je pensais c'est à dire que ce n'est pas bon du tout :D Pizza Burger un peu n'importe quoi comme Les jwejem aux M&M's Oreo et j'en passe .. on aura tout vu dans ce pays"", '', 'الساعة مش عادتهم. ..البرقر والبيتزا روعة في النصر !!!!', '', 'Sadmit 3omri aussi 5obez assil tal3it flop 3al li5ir', '', 'Le pire eli howa 5obz bel7a9 w à 22 dt', '', ""C vrai smug's lac service null w personnel 3al 7it apart enou mayjiblk l commande ken ba3d se3a w berda w5dhina slata feha cha3ra"", '', 'Thahra tchabah 5obz el 3id lekbir 😣', '', ""Bizarre !!! C'est super bon, d'habitude !"", '', 'Bizarre d habitude elle est super délicieuse leur pizza burger!! Baz le pizzaiolo mouch fi sa7nou nharet ha loool bon la meilleure reste celle d ennasr...', '']"
Hier j'ai mangé big pizza burger chez smug's lac vraiment t3ayeeeef aucun gout ena j'ai pensé eli hya bel7a9 pizza ma7chya bel fromage w bracha 7ajet l9itha 5obza tabouna chey7a tghases ya pa de fromage w l7am mafroum men de5el ma7rou9!!!! Vraiment déçu 3ale5er en plus jebhelna beeerda en tou cas je le repetrais jamais;"['Même expérience désagréable à la marsa !', '', ""Ce truc ne m'a jamais donné envi et tu viens de confirmer ce que je pensais c'est à dire que ce n'est pas bon du tout :D Pizza Burger un peu n'importe quoi comme Les jwejem aux M&M's Oreo et j'en passe .. on aura tout vu dans ce pays"", '', ""Ce truc ne m'a jamais donné envi et tu viens de confirmer ce que je pensais c'est à dire que ce n'est pas bon du tout :D Pizza Burger un peu n'importe quoi comme Les jwejem aux M&M's Oreo et j'en passe .. on aura tout vu dans ce pays"", '', 'الساعة مش عادتهم. ..البرقر والبيتزا روعة في النصر !!!!', '', 'Sadmit 3omri aussi 5obez assil tal3it flop 3al li5ir', '', 'Le pire eli howa 5obz bel7a9 w à 22 dt', '', ""C vrai smug's lac service null w personnel 3al 7it apart enou mayjiblk l commande ken ba3d se3a w berda w5dhina slata feha cha3ra"", '', 'Thahra tchabah 5obz el 3id lekbir 😣', '', ""Bizarre !!! C'est super bon, d'habitude !"", '', 'Bizarre d habitude elle est super délicieuse leur pizza burger!! Baz le pizzaiolo mouch fi sa7nou nharet ha loool bon la meilleure reste celle d ennasr...', '']"
On a massacré pour vous et comme d'hab, une big Smug's pizza et un tacos poulet à couper le souffle lool le tout à 45dt (Avec 2 boissons gazeuses et un bannane nutella Thrills!);[]
On a massacré pour vous et comme d'hab, une big Smug's pizza et un tacos poulet à couper le souffle lool le tout à 45dt (Avec 2 boissons gazeuses et un bannane nutella Thrills!);[]
